Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls faced,Strike rate,100s,50s,0's,4's,6's
E Lewis,2021-2021,6,6,0,234,71,39,146,160.27,0,3,0,17,19
J Charles,2023-2024,6,6,0,223,118,37.16,101,220.79,1,1,1,20,20
BA King,2023-2024,6,6,0,219,79,36.5,130,168.46,0,1,0,16,17
KR Mayers,2023-2024,7,7,1,211,51,35.16,137,154.01,0,1,0,12,19
RL Chase,2023-2024,5,5,3,161,67*,80.5,117,137.6,0,2,0,14,5
N Pooran,2021-2024,10,9,0,143,41,15.88,107,133.64,0,0,0,11,7
R Shepherd,2023-2024,4,4,2,114,44*,57,59,193.22,0,0,0,4,10
ADS Fletcher,2021-2024,5,4,0,95,35,23.75,75,126.66,0,0,0,6,5
KA Pollard,2021-2021,6,5,1,92,51*,23,66,139.39,0,1,0,4,7
LMP Simmons,2021-2021,4,4,0,88,47,22,97,90.72,0,0,0,5,5
R Powell,2023-2024,4,4,1,83,43*,27.66,43,193.02,0,0,0,3,8
AD Russell,2021-2024,7,7,1,82,25,13.66,54,151.85,0,0,1,4,8
FA Allen,2021-2024,7,5,2,68,34,22.66,37,183.78,0,0,1,3,7
CH Gayle,2021-2021,5,5,1,68,32*,17,59,115.25,0,0,0,3,5
SO Hetmyer,2021-2021,4,4,0,58,33,14.5,55,105.45,0,0,0,1,4
JO Holder,2021-2023,5,3,0,49,20,16.33,40,122.5,0,0,0,1,3
RA Reifer,2023-2023,2,1,0,27,27,27,18,150,0,0,0,1,2
AS Joseph,2023-2024,3,2,2,25,14*,-,16,156.25,0,0,0,1,2
DJ Bravo,2021-2021,6,4,2,19,10,9.5,14,135.71,0,0,0,3,0
OF Smith,2023-2023,2,2,1,16,11*,16,10,160,0,0,0,1,1
AJ Hosein,2021-2024,8,6,2,10,6,2.5,19,52.63,0,0,2,1,0
G Motie,2024-2024,4,3,2,7,4*,7,10,70,0,0,0,1,0
A Athanaze,2024-2024,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
MW Forde,2024-2024,1,1,0,5,5,5,7,71.42,0,0,0,0,0
OC McCoy,2021-2024,9,2,1,2,1*,2,8,25,0,0,0,0,0
FH Edwards,2021-2021,2,1,1,0,0*,-,3,0,0,0,0,0,0
SD Hope,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
S Joseph,2024-2024,3,1,1,0,0*,-,0,-,0,0,0,0,0
SE Rutherford,2024-2024,1,1,0,0,0,0,4,0,0,0,1,0,0
K Sinclair,2021-2021,3,1,1,0,0*,-,1,0,0,0,0,0,0
HR Walsh,2021-2024,2,1,0,0,0,0,1,0,0,0,1,0,0
