Player,Span,Mat,Inns,Not Out,Runs,Highest Score,Ave,Balls Faced,Strike Rate,100's,50's,0's,4's,6's
LMP Simmons,2020-2021,5,5,1,149,67*,37.25,111,134.23,0,1,0,15,6
SO Hetmyer,2020-2021,3,2,2,124,81*,-,96,129.16,0,1,0,11,4
N Pooran,2020-2021,6,5,0,91,46,18.2,80,113.75,0,0,1,8,3
KA Pollard,2020-2021,6,5,0,85,38,17,45,188.88,0,0,2,3,9
AD Russell,2020-2021,3,3,1,77,40*,38.5,32,240.62,0,0,0,2,10
BA King,2020-2020,2,2,0,76,43,38,46,165.21,0,0,0,11,3
E Lewis,2021-2021,4,4,0,63,28,15.75,40,157.5,0,0,0,8,4
JO Holder,2021-2021,4,4,2,60,29*,30,57,105.26,0,0,0,1,5
FA Allen,2020-2021,5,4,2,36,21*,18,27,133.33,0,0,1,0,4
CH Gayle,2021-2021,4,4,0,30,16,7.5,42,71.42,0,0,1,3,1
R Powell,2020-2021,3,2,0,24,17,12,25,96,0,0,0,2,1
OC McCoy,2021-2021,3,1,0,23,23,23,7,328.57,0,0,0,2,2
RL Chase,2021-2021,1,1,0,9,9,9,8,112.5,0,0,0,2,0
DJ Bravo,2020-2021,6,4,1,8,4*,2.66,25,32,0,0,1,0,0
K Sinclair,2021-2021,3,1,0,3,3,3,8,37.5,0,0,0,0,0
FH Edwards,2021-2021,2,1,1,1,1*,-,2,50,0,0,0,0,0
AJ Hosein,2021-2021,1,1,1,1,1*,-,1,100,0,0,0,0,0
