Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
HR Walsh,2021-2021,6,6,22,0,158,12,Mar-23,13.16,7.18,11,0,0
AD Russell,2021-2024,9,9,25,0,270,9,Mar-42,30,10.8,16.6,0,0
AS Joseph,2022-2024,5,5,20,0,153,8,Mar-21,19.12,7.65,15,0,0
SS Cottrell,2021-2022,5,5,18.5,0,162,7,Mar-28,23.14,8.6,16.1,0,0
OC McCoy,2021-2022,3,3,8,0,68,7,Apr-26,9.71,8.5,6.8,1,0
FA Allen,2021-2021,5,5,18,0,132,4,Feb-24,33,7.33,27,0,0
JO Holder,2021-2024,6,6,20,0,211,4,Feb-42,52.75,10.55,30,0,0
R Shepherd,2024-2024,3,3,12,0,117,4,Feb-31,29.25,9.75,18,0,0
DJ Bravo,2021-2021,4,4,12,0,98,2,Jan-17,49,8.16,36,0,0
RL Chase,2021-2024,2,2,5.2,0,36,2,Feb-19,18,6.75,16,0,0
CH Gayle,2021-2021,6,4,5.2,0,26,2,01-Jan,13,4.87,16,0,0
AJ Hosein,2021-2024,6,6,19,0,182,2,Jan-29,91,9.57,57,0,0
OF Smith,2022-2022,2,2,6,0,43,2,Jan-19,21.5,7.16,18,0,0
Y Cariah,2022-2022,2,2,6,0,43,1,Jan-15,43,7.16,36,0,0
FH Edwards,2021-2021,2,2,3.5,0,32,1,01-Aug,32,8.34,23,0,0
O Thomas,2021-2021,2,2,4,0,59,1,Jan-31,59,14.75,24,0,0
KR Mayers,2022-2024,3,2,3,0,30,0,-,-,10,-,0,0
R Powell,2022-2024,5,2,2,0,24,0,-,-,12,-,0,0
LMP Simmons,2021-2021,5,2,1.1,0,17,0,-,-,14.57,-,0,0
