Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
KMA Paul,2018-2022,7,7,24,0,190,13,May-15,14.61,7.91,11,0,1
SS Cottrell,2018-2018,3,3,12,1,97,7,Apr-28,13.85,8.08,10.2,1,0
R Shepherd,2022-2022,3,3,9,0,68,6,Mar-21,11.33,7.55,9,0,0
KOK Williams,2018-2018,3,3,11,0,89,5,Apr-28,17.8,8.09,13.2,1,0
FA Allen,2018-2018,3,3,11,0,67,4,Feb-19,16.75,6.09,16.5,0,0
CR Brathwaite,2018-2018,6,6,20,0,153,4,Feb-32,38.25,7.65,30,0,0
AR Nurse,2018-2018,3,3,8,0,62,4,02-Jun,15.5,7.75,12,0,0
HR Walsh,2022-2022,3,3,11,0,72,4,Feb-24,18,6.54,16.5,0,0
AJ Hosein,2021-2022,4,4,15,0,104,3,Jan-22,34.66,6.93,30,0,0
OC McCoy,2022-2022,3,3,10,0,82,3,Feb-37,27.33,8.2,20,0,0
AD Russell,2018-2021,4,4,15,0,125,3,Jan-27,41.66,8.33,30,0,0
OF Smith,2022-2022,3,3,8,0,88,3,Jan-22,29.33,11,16,0,0
O Thomas,2018-2018,3,3,11,0,132,2,Jan-33,66,12,33,0,0
DJ Bravo,2021-2021,1,1,4,0,36,1,Jan-36,36,9,24,0,0
JO Holder,2021-2021,1,1,4,0,22,1,Jan-22,22,5.5,24,0,0
R Rampaul,2021-2021,1,1,4,0,25,1,Jan-25,25,6.25,24,0,0
S Badree,2018-2018,3,3,8,0,72,0,-,-,9,-,0,0
DC Drakes,2022-2022,1,1,1,0,6,0,-,-,6,-,0,0
KR Mayers,2022-2022,3,1,2,0,14,0,-,-,7,-,0,0
R Powell,2018-2022,9,1,1,0,7,0,-,-,7,-,0,0
