Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
JO Holder,2019-2023,13,13,49,1,419,23,May-27,18.21,8.55,12.7,1,1
AJ Hosein,2021-2024,12,12,45,0,335,16,Apr-30,20.93,7.44,16.8,1,0
SS Cottrell,2019-2022,8,8,25.5,1,209,8,Mar-29,26.12,8.09,19.3,0,0
AD Russell,2021-2024,7,6,20.5,0,218,8,Mar-19,27.25,10.46,15.6,0,0
R Shepherd,2022-2024,7,7,19,0,220,8,Mar-59,27.5,11.57,14.2,0,0
AS Joseph,2023-2024,4,4,14,0,175,6,Mar-39,29.16,12.5,14,0,0
FA Allen,2019-2022,7,6,18,1,139,5,Feb-29,27.8,7.72,21.6,0,0
CR Brathwaite,2017-2019,4,3,11.3,0,86,5,Mar-20,17.2,7.47,13.8,0,0
G Motie,2023-2024,5,5,20,0,150,5,Mar-24,30,7.5,24,0,0
KA Pollard,2017-2022,7,7,18.2,0,135,4,Feb-31,33.75,7.36,27.5,0,0
KOK Williams,2017-2017,1,1,4,0,35,3,Mar-35,11.66,8.75,8,0,0
SP Narine,2017-2017,1,1,4,0,15,2,Feb-15,7.5,3.75,12,0,0
AR Nurse,2017-2019,2,2,7,0,55,2,Jan-23,27.5,7.85,21,0,0
D Bishoo,2019-2019,2,2,3.3,1,28,1,01-Nov,28,8,21,0,0
RL Chase,2024-2024,1,1,3,0,19,1,Jan-19,19,6.33,18,0,0
OC McCoy,2019-2021,3,2,5,0,56,1,Jan-44,56,11.2,30,0,0
R Rampaul,2021-2021,1,1,2,0,14,1,Jan-14,14,7,12,0,0
OF Smith,2022-2022,3,2,5,0,45,1,Jan-41,45,9,30,0,0
JE Taylor,2017-2017,1,1,3,0,40,1,Jan-40,40,13.33,18,0,0
JD Campbell,2019-2019,1,1,1,0,1,0,-,-,1,-,0,0
DC Drakes,2022-2022,1,1,2,0,26,0,-,-,13,-,0,0
MW Forde,2023-2023,1,1,3,0,54,0,-,-,18,-,0,0
KR Mayers,2022-2023,6,1,1,0,7,0,-,-,7,-,0,0
R Powell,2017-2024,10,1,1,0,9,0,-,-,9,-,0,0
SE Rutherford,2023-2024,4,1,1,0,23,0,-,-,23,-,0,0
O Thomas,2019-2023,2,2,6,0,54,0,-,-,9,-,0,0
