Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
OF Smith,2022-2022,3,3,11,0,91,7,Mar-29,13,8.27,9.4,0,0
CR Brathwaite,2017-2018,3,3,9,0,109,4,Feb-38,27.25,12.11,13.5,0,0
AS Joseph,2022-2024,2,2,8,0,54,4,Apr-19,13.5,6.75,12,1,0
OC McCoy,2022-2022,2,2,8,0,79,4,Mar-40,19.75,9.87,12,0,0
AJ Hosein,2022-2024,2,2,8,0,49,3,Feb-28,16.33,6.12,16,0,0
G Motie,2024-2024,1,1,4,0,25,3,Mar-25,8.33,6.25,8,0,0
JE Taylor,2017-2018,2,2,8,0,94,3,Feb-41,31.33,11.75,16,0,0
O Thomas,2020-2020,3,2,7,0,67,3,Feb-23,22.33,9.57,14,0,0
S Badree,2017-2018,3,3,11,0,96,2,Jan-22,48,8.72,33,0,0
SS Cottrell,2018-2020,4,3,10,0,90,2,Jan-21,45,9,30,0,0
AR Nurse,2017-2018,3,3,10,0,88,2,Jan-13,44,8.8,30,0,0
KA Pollard,2020-2020,3,2,4.2,0,49,2,Jan-16,24.5,11.3,13,0,0
KOK Williams,2017-2020,3,3,7,0,109,2,Jan-24,54.5,15.57,21,0,0
FA Allen,2020-2020,3,2,5,0,67,1,Jan-35,67,13.4,30,0,0
DC Drakes,2022-2022,1,1,4,0,19,1,Jan-19,19,4.75,24,0,0
RR Emrit,2018-2018,1,1,4,0,42,1,Jan-42,42,10.5,24,0,0
JO Holder,2022-2022,2,2,8,0,82,1,Jan-42,82,10.25,48,0,0
AD Russell,2024-2024,1,1,4,0,30,1,Jan-30,30,7.5,24,0,0
R Shepherd,2020-2024,5,4,11,0,115,1,Jan-26,115,10.45,66,0,0
HR Walsh,2020-2022,4,3,10,0,100,1,Jan-16,100,10,60,0,0
RL Chase,2024-2024,1,1,1,0,4,0,-,-,4,-,0,0
KR Mayers,2020-2022,4,3,4,0,35,0,-,-,8.75,-,0,0
KMA Paul,2020-2020,2,2,7,0,103,0,-,-,14.71,-,0,0
R Powell,2017-2024,10,1,1,0,9,0,-,-,9,-,0,0
