Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
JO Holder,2017-2021,8,5,18.1,0,135,6,Apr-26,22.5,7.43,18.1,1,0
OF Smith,2018-2021,5,5,17,0,192,6,Feb-24,32,11.29,17,0,0
S Badree,2017-2018,7,7,27,0,191,5,Feb-14,38.2,7.07,32.4,0,0
CR Brathwaite,2017-2017,4,4,12,0,83,5,Mar-37,16.6,6.91,14.4,0,0
KOK Williams,2017-2018,6,6,21,1,163,5,Feb-16,32.6,7.76,25.2,0,0
SP Narine,2017-2017,4,4,15,0,97,4,Mar-22,24.25,6.46,22.5,0,0
R Shepherd,2021-2021,6,4,13.5,0,163,4,Feb-43,40.75,11.78,20.7,0,0
RR Emrit,2018-2018,3,3,12,0,114,3,Jan-24,38,9.5,24,0,0
DJ Bravo,2021-2021,4,1,4,0,24,2,Feb-24,12,6,12,0,0
DC Drakes,2021-2021,3,3,11,0,114,2,Jan-37,57,10.36,33,0,0
AJ Hosein,2021-2021,6,3,12,0,65,2,Jan-16,32.5,5.41,36,0,0
MN Samuels,2017-2018,7,3,4.3,0,29,2,01-Nov,14.5,6.44,13.5,0,0
O Thomas,2021-2021,3,3,9,0,98,2,Jan-35,49,10.88,27,0,0
KMA Paul,2018-2018,3,3,10.5,0,97,1,Jan-26,97,8.95,65,0,0
R Powell,2017-2021,8,2,4,0,47,1,Jan-34,47,11.75,24,0,0
HR Walsh,2021-2021,6,3,10,0,85,1,Jan-30,85,8.5,60,0,0
CH Gayle,2021-2021,4,1,1,0,11,0,-,-,11,-,0,0
AM McCarthy,2018-2018,1,1,2,0,12,0,-,-,6,-,0,0
JN Mohammed,2017-2018,5,2,2,0,13,0,-,-,6.5,-,0,0
G Motie,2021-2021,1,1,4,0,29,0,-,-,7.25,-,0,0
V Permaul,2018-2018,1,1,0.3,0,8,0,-,-,16,-,0,0
KA Pollard,2017-2021,8,1,1,0,10,0,-,-,10,-,0,0
