Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike Rate,4 Wkts,5 Wkts
OC McCoy,2021-2024,9,9,30.1,0,242,14,Apr-22,17.28,8.02,12.9,1,0
DJ Bravo,2021-2021,6,6,23,0,154,10,Apr-19,15.4,6.69,13.8,1,0
AS Joseph,2023-2024,3,3,10,0,86,8,May-40,10.75,8.6,7.5,0,1
G Motie,2024-2024,4,4,12,0,88,8,Mar-22,11,7.33,9,0,0
AD Russell,2021-2024,7,7,21.2,0,189,6,Feb-19,31.5,8.85,21.3,0,0
RL Chase,2023-2024,5,4,13,0,93,5,03-Dec,18.6,7.15,15.6,0,0
JO Holder,2021-2023,5,5,17,0,163,4,Jan-26,40.75,9.58,25.5,0,0
MW Forde,2024-2024,1,1,2.5,0,27,3,Mar-27,9,9.52,5.6,0,0
AJ Hosein,2021-2024,8,8,21,0,233,3,Jan-27,77.66,11.09,42,0,0
S Joseph,2024-2024,3,3,8,0,67,3,Feb-26,22.33,8.37,16,0,0
OF Smith,2023-2023,2,2,4,0,63,3,Feb-27,21,15.75,8,0,0
FA Allen,2021-2024,7,6,18,0,138,2,Feb-18,69,7.66,54,0,0
SS Cottrell,2023-2023,3,3,7,0,84,2,Feb-31,42,12,21,0,0
FH Edwards,2021-2021,2,2,5,0,40,2,Feb-19,20,8,15,0,0
R Shepherd,2023-2024,4,4,13.5,0,131,2,Jan-20,65.5,9.46,41.5,0,0
K Sinclair,2021-2021,3,3,9,0,73,2,Feb-23,36.5,8.11,27,0,0
CH Gayle,2021-2021,5,2,4,0,26,1,01-Nov,26,6.5,24,0,0
KA Pollard,2021-2021,6,4,9,0,69,1,Jan-24,69,7.66,54,0,0
R Powell,2023-2024,4,1,2,0,27,1,Jan-27,27,13.5,12,0,0
RA Reifer,2023-2023,2,2,5,0,60,1,Jan-42,60,12,30,0,0
KR Mayers,2023-2024,7,1,1,0,9,0,-,-,9,-,0,0
R Rampaul,2021-2021,1,1,3,0,22,0,-,-,7.33,-,0,0
HR Walsh,2021-2024,2,2,5,0,44,0,-,-,8.8,-,0,0
