Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,Strike rate,4 Wkts,5 Wkts
DJ Bravo,2020-2021,6,6,24,0,189,6,Feb-25,31.5,7.87,24,0,0
O Thomas,2020-2020,2,2,7,0,52,6,May-28,8.66,7.42,7,0,1
FA Allen,2020-2021,5,4,11,0,52,4,Feb-24,13,4.72,16.5,0,0
OC McCoy,2021-2021,3,3,12,0,88,4,Feb-25,22,7.33,18,0,0
JO Holder,2021-2021,4,4,16,0,119,3,Jan-19,39.66,7.43,32,0,0
AD Russell,2020-2021,3,3,12,0,99,3,Feb-33,33,8.25,24,0,0
SS Cottrell,2020-2020,2,2,6.1,0,43,2,Jan-14,21.5,6.97,18.5,0,0
R Powell,2020-2021,3,1,4,0,31,2,Feb-31,15.5,7.75,12,0,0
K Sinclair,2021-2021,3,3,9,0,77,2,Jan-19,38.5,8.55,27,0,0
FH Edwards,2021-2021,2,2,6,0,48,1,Jan-29,48,8,36,0,0
RL Chase,2021-2021,1,1,1,0,6,0,-,-,6,-,0,0
AJ Hosein,2021-2021,1,1,2,0,22,0,-,-,11,-,0,0
KA Pollard,2020-2021,6,3,5,0,44,0,-,-,8.8,-,0,0
R Rampaul,2021-2021,1,1,4,0,37,0,-,-,9.25,-,0,0
